Symbol,Group,Family,Subfamily
DSTYK,Other,Dusty,
AATK,TK,Lmr,
MAP3K15,STE,STE11,ASK
PEAK3,Other,PEAK,
NEK10,Other,NEK,NEK10
ERN2,Other,IRE,
MARK2,CAMK,CAMKL,MARK
TAOK1,STE,STE20,TAO
STRADA,STE,STE20,STLK
NRK,STE,STE20,MSN
ADCK2,Atypical,ABC1,ABC1-C
PXK,Other,Slob,
NEK8,Other,NEK,NEK8
ALPK2,Atypical,Alpha,Alpha-Unclassified
ADCK1,Atypical,ABC1,ABC1-B
TLK2,Other,TLK,
STK32C,AGC,YANK,
PIM3,CAMK,PIM,
FJX1,Other,PKL,FJ
NME9,Other,NDK,
VRK2,CK1,VRK,
PRAG1,Other,NKF3,
MYLK4,CAMK,MLCK,
HIPK1,CMGC,DYRK,HIPK
CAMK1D,CAMK,CAMK1,
VRK3,CK1,VRK,
MAP4K3,STE,STE20,KHS
KSR1,TKL,RAF,KSR
CDKL3,CMGC,CDKL,
MAPKAPK5,CAMK,MAPKAPK,MK5
TEX14,Other,NKF5,
BRSK2,CAMK,CAMKL,BRSK
LMTK2,TK,Lmr,
FAM20C,Other,PKL,FJ
NIM1K,CAMK,CAMKL,NIM1
ULK2,Other,ULK,ULK
SCYL3,Other,SCY1,
CDK20,CMGC,CDK,CCRK
TAF1L,Atypical,TAF1,
PDIK1L,Other,NKF4,
STK40,CAMK,SgK495,
NME8,Other,NDK,
MINK1,STE,STE20,MSN
DCLK2,CAMK,DCAMKL,
CAMKK1,Other,CAMKK,CAMKK-Meta
CSNK1A1L,CK1,CK1,CK1-A
MLKL,TKL,TKL-Unique,
CAMKV,CAMK,CAMK-Unique,
STKLD1,Other,SgK071,
HIPK4,CMGC,DYRK,HIPK
ACVR1C,TKL,STKR,STKR1
CSNK2A3,Other,CK2,
MYO3A,STE,STE20,NinaC
ANKK1,TKL,RIPK,
NEK11,Other,NEK,NEK11
COQ8A,Atypical,ABC1,ABC1-A
UHMK1,Other,KIS,
MAPK15,CMGC,MAPK,ERK7
NEK9,Other,NEK,NEK9
BRSK1,CAMK,CAMKL,BRSK
STK35,Other,NKF4,
NEK7,Other,NEK,NEK6
TBCK,Other,TBCK,
HASPIN,Other,Haspin,
GRK7,AGC,GRK,GRK
STK32A,AGC,YANK,
MYO3B,STE,STE20,NinaC
TTN,CAMK,MLCK,
TRIB2,CAMK,Trbl,
DYRK2,CMGC,DYRK,DYRK2
CDKL2,CMGC,CDKL,
MAP4K1,STE,STE20,KHS
SGK3,AGC,SGK,
ULK4,Other,ULK,ULK
COQ8B,Atypical,ABC1,ABC1-A
AURKB,Other,Aur,
MASTL,AGC,MAST,MASTL
WNK4,Other,WNK,
PBK,Other,TOPK,
SCYL1,Other,SCY1,
MARK4,CAMK,CAMKL,MARK
ALPK3,Atypical,Alpha,Alpha-Unclassified
RSKR,AGC,RSKR,
FAM20A,Other,PKL,FJ
CAMK1G,CAMK,CAMK1,
TSSK2,CAMK,TSSK,
TSSK3,CAMK,TSSK,
NEK1,Other,NEK,NEK1
LMTK3,TK,Lmr,
SMG1,Atypical,PIKK,SMG1
CDK15,CMGC,CDK,PFTAIRE
ALPK1,Atypical,Alpha,Alpha-Unclassified
PSKH2,CAMK,PSK,
TRPM7,Atypical,Alpha,ChaK
PASK,CAMK,CAMKL,PASK
CAMKK2,Other,CAMKK,CAMKK-Meta
TRIB3,CAMK,Trbl,
TRIB1,CAMK,Trbl,
RPS6KC1,AGC,RSKL,
TP53RK,Other,Bud32,
TESK2,TKL,LISK,TESK
SRPK1,CMGC,SRPK,
MAP3K14,STE,STE-Unique,
PIK3R4,Other,VPS15,
PKMYT1,Other,WEE,WEE1
MAP3K5,STE,STE11,ASK
MAP3K3,STE,STE11,MEKK2
VRK1,CK1,VRK,
EIF2AK1,Other,PEK,HRI
RIOK1,Atypical,RIO,RIO1
MKNK1,CAMK,MAPKAPK,MNK
RIOK2,Atypical,RIO,RIO2
CDK19,CMGC,CDK,CDK8
TRPM6,Atypical,Alpha,ChaK
TSSK6,CAMK,TSSK,
TSSK1B,CAMK,TSSK,
PINK1,Other,NKF2,
STK31,Other,Other-Unique,
WNK3,Other,WNK,
STK33,CAMK,STK33,
PRKD2,CAMK,PKD,
DCLK3,CAMK,DCAMKL,
STRADB,STE,STE20,STLK
NUAK2,CAMK,CAMKL,NuaK
SIK2,CAMK,CAMKL,QIK
MYLK2,CAMK,MLCK,
SLK,STE,STE20,SLK
TAOK3,STE,STE20,TAO
HIPK2,CMGC,DYRK,HIPK
SRMS,TK,Src,SRM
HIPK3,CMGC,DYRK,HIPK
WNK1,Other,WNK,
PLK3,Other,PLK,PLK2
POMK,Other,Other-Unique,
PEAK1,Other,NKF3,
CLK4,CMGC,CLK,
MKNK2,CAMK,MAPKAPK,MNK
SGK2,AGC,SGK,
NEK6,Other,NEK,NEK6
CSNK1G1,CK1,CK1,CK1-G
PAK6,STE,STE20,PAKB
DYRK4,CMGC,DYRK,DYRK2
SNRK,CAMK,CAMKL,SNRK
BAZ1A,Atypical,BAZ,
LATS2,AGC,NDR,LATS
STK36,Other,ULK,Fused
NRBP2,Other,NRBP,
BMP2K,Other,NAK,BIKE
IRAK4,TKL,IRAK,
STK32B,AGC,YANK,
MAP3K20,TKL,MLK,MLK
CDK12,CMGC,CDK,CRK7
PLK2,Other,PLK,PLK2
EIF2AK3,Other,PEK,PEK
MARK1,CAMK,CAMKL,MARK
PIM2,CAMK,PIM,
PAK5,STE,STE20,PAKB
STK26,STE,STE20,YSK
EIF2AK4,Other,PEK,GCN2
NLK,CMGC,MAPK,nmo
RPS6KB2,AGC,RSK,RSKp70
STK17A,CAMK,DAPK,DRAK
STK39,STE,STE20,FRAY
EPHA6,TK,Eph,
GASK1A,Other,PKL,FJ
TBK1,Other,IKK,
NRBP1,Other,NRBP,
BAZ1B,Atypical,BAZ,
DAPK2,CAMK,DAPK,DAPK
RPS6KA6,AGC,RSK,RSKp90
TNIK,STE,STE20,MSN
TLK1,Other,TLK,
TAOK2,STE,STE20,TAO
ALK,TK,ALK,
SRPK3,CMGC,SRPK,
TRIM33,Atypical,TIF1,
CILK1,CMGC,RCK,MAK
MOK,CMGC,RCK,MOK
CDK11A,CMGC,CDK,CDK11
AURKC,Other,Aur,
CAMK2A,CAMK,CAMK2,
AKT3,AGC,Akt,
STK38L,AGC,NDR,NDR
MAST1,AGC,MAST,MAST
SIK3,CAMK,CAMKL,QIK
MAP3K2,STE,STE11,MEKK2
WNK2,Other,WNK,
DYRK1B,CMGC,DYRK,DYRK1
TRRAP,Atypical,PIKK,TRRAP
MAP4K5,STE,STE20,KHS
RIPK3,TKL,RIPK,
NME7,Other,NDK,
CERT1,Atypical,Col4A3BP,
CDC42BPB,AGC,DMPK,GEK
IRAK3,TKL,IRAK,
STK24,STE,STE20,YSK
CSNK1G3,CK1,CK1,CK1-G
MAP3K4,STE,STE11,MEKK4
RPS6KL1,AGC,RSKL,
